"","FP","variable","Severity","Region","Access_modality","Focus","ESS_Categoty","ESS_Category"
"1","FP001","Impact of the implementation challenge on the project implementation","Moderate","L. America & Caribbean","Direct","Cross-cutting","Category C","Category C"
"2","FP001","Impact of the implementation challenge on the project implementation","Moderate","L. America & Caribbean","Direct","Cross-cutting","Category C","Category C"
"3","FP002","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"4","FP002","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Adaptation","Category C","Category C"
"5","FP002","Impact of the implementation challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"6","FP002","Impact of the implementation challenge on the project implementation2","Moderate","Africa","International","Adaptation","Category C","Category C"
"7","FP005","Impact of the financial challenge on the project implementation","Minor/Solved","Africa","Direct","Cross-cutting","Intermediation 3","Category C"
"8","FP005","Impact of the implementation challenge on the project implementation","Moderate","Africa","Direct","Cross-cutting","Intermediation 3","Category C"
"9","FP005","Impact of the implementation challenge on the project implementation","Moderate","Africa","Direct","Cross-cutting","Intermediation 3","Category C"
"10","FP007","Impact of the political challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"11","FP007","Impact of the financial challenge on the project implementation","Minor","Asia-Pacific","International","Adaptation","Category B","Category B"
"12","FP007","Impact of the implementation challenge on the project implementation","Minor","Asia-Pacific","International","Adaptation","Category B","Category B"
"13","FP007","Impact of the financial challenge on the project implementation","High","Asia-Pacific","International","Adaptation","Category B","Category B"
"14","FP007","Impact of the implementation challenge on the project implementation","Minor","Asia-Pacific","International","Adaptation","Category B","Category B"
"15","FP007","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"16","FP008","Impact of the implementation challenge on the project implementation","High","Asia-Pacific","International","Adaptation","Category B","Category B"
"17","FP008","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"18","FP010","Impact of the political challenge on the project implementation","Low","Eastern Europe","International","Mitigation","Category C","Category C"
"19","FP010","Impact of the  procurement challenge on the project implementation","Minor/Solved","Eastern Europe","International","Mitigation","Category C","Category C"
"20","FP010","Impact of the political challenge on the project implementation","High","Eastern Europe","International","Mitigation","Category C","Category C"
"21","FP010","Impact of the political challenge on the project implementation2","High","Eastern Europe","International","Mitigation","Category C","Category C"
"22","FP010","Impact of the financial challenge on the project implementation","Moderate","Eastern Europe","International","Mitigation","Category C","Category C"
"23","FP011","Impact of the implementation challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"24","FP011","Impact of the financial challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"25","FP011","Impact of the environmental/social challenge on the project implementation2","Moderate","Africa","International","Adaptation","Category C","Category C"
"26","FP011","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"27","FP011","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Adaptation","Category C","Category C"
"28","FP011","Impact of the financial challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"29","FP011","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"30","FP011","Impact of the environmental/social challenge on the project implementation","Moderate","Africa","International","Adaptation","Category C","Category C"
"31","FP011","Impact of the environmental/social challenge on the project implementation3","High","Africa","International","Adaptation","Category C","Category C"
"32","FP013","Impact of the legal challenge on the project implementation","Moderate","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"33","FP013","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"34","FP013","Impact of the implementation challenge on the project implementation3","High","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"35","FP013","Impact of the implementation challenge on the project implementation","Minor/solved","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"36","FP013","Impact of the implementation challenge on the project implementation4","Moderate","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"37","FP013","Impact of the legal challenge on the project implementation2","Moderate","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"38","FP013","Impact of the implementation challenge on the project implementation2","High","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"39","FP013","Impact of the implementation challenge on the project implementation5","Moderate","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"40","FP015","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"41","FP015","Impact of the implementation challenge on the project implementation2","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"42","FP015","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"43","FP015","Impact of the implementation challenge on the project implementation2","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"44","FP015","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"45","FP015","Impact of the political challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"46","FP016","Impact of the political challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"47","FP016","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"48","FP016","Impact of the political challenge on the project implementation2","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"49","FP016","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"50","FP016","Impact of the political challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"51","FP016","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"52","FP016","Impact of the implementation challenge on the project implementation2","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"53","FP018","Impact of the political challenge on the project implementation","High","Asia-Pacific","International","Adaptation","Category B","Category B"
"54","FP018","Impact of the implementation challenge on the project implementation","High","Asia-Pacific","International","Adaptation","Category B","Category B"
"55","FP018","Impact of the legal challenge on the project implementation","High","Asia-Pacific","International","Adaptation","Category B","Category B"
"56","FP019","Impact of the implementation challenge on the project implementation2","High","L. America & Caribbean","International","Mitigation","Category B","Category B"
"57","FP019","Impact of the implementation challenge on the project implementation4","High","L. America & Caribbean","International","Mitigation","Category B","Category B"
"58","FP019","Impact of the implementation challenge on the project implementation5","High","L. America & Caribbean","International","Mitigation","Category B","Category B"
"59","FP019","Impact of the political challenge on the project implementation","High","L. America & Caribbean","International","Mitigation","Category B","Category B"
"60","FP019","Impact of the financial challenge on the project implementation","Moderate","L. America & Caribbean","International","Mitigation","Category B","Category B"
"61","FP019","Impact of the political challenge on the project implementation","Minor/Solved","L. America & Caribbean","International","Mitigation","Category B","Category B"
"62","FP019","Impact of the implementation challenge on the project implementation","High","L. America & Caribbean","International","Mitigation","Category B","Category B"
"63","FP019","Impact of the financial challenge on the project implementation2","Moderate","L. America & Caribbean","International","Mitigation","Category B","Category B"
"64","FP019","Impact of the environmental/social challenge on the project implementation2","Moderate","L. America & Caribbean","International","Mitigation","Category B","Category B"
"65","FP019","Impact of the implementation challenge on the project implementation3","Minor/solved","L. America & Caribbean","International","Mitigation","Category B","Category B"
"66","FP022","Impact of the financial challenge on the project implementation2","High","Africa","Direct","Cross-cutting","Category B","Category B"
"67","FP022","Impact of the implementation challenge on the project implementation","Moderate","Africa","Direct","Cross-cutting","Category B","Category B"
"68","FP022","Impact of the financial challenge on the project implementation","Moderate","Africa","Direct","Cross-cutting","Category B","Category B"
"69","FP023","Impact of the  procurement challenge on the project implementation","Moderate","Africa","Direct","Adaptation","Category C","Category C"
"70","FP023","Impact of the financial challenge on the project implementation2","High","Africa","Direct","Adaptation","Category C","Category C"
"71","FP023","Impact of the financial challenge on the project implementation","Moderate","Africa","Direct","Adaptation","Category C","Category C"
"72","FP023","Impact of the implementation challenge on the project implementation","Moderate","Africa","Direct","Adaptation","Category C","Category C"
"73","FP024","Impact of the  procurement challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"74","FP024","Impact of the legal challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"75","FP024","Impact of the financial challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"76","FP024","Impact of the implementation challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"77","FP024","Impact of the implementation challenge on the project implementation2","High","Africa","Direct","Adaptation","Category C","Category C"
"78","FP024","Impact of the implementation challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"79","FP025","Impact of the legal challenge on the project implementation","Minor/solved","Global","International","Cross-cutting","Intermediation 2","Category B"
"80","FP025","Impact of the financial challenge on the project implementation","High","Global","International","Cross-cutting","Intermediation 2","Category B"
"81","FP026","Impact of the implementation challenge on the project implementation2","Moderate","Africa","International","Cross-cutting","Category B","Category B"
"82","FP026","Impact of the implementation challenge on the project implementation","High","Africa","International","Cross-cutting","Category B","Category B"
"83","FP026","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Cross-cutting","Category B","Category B"
"84","FP028","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"85","FP028","Impact of the financial challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"86","FP028","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"87","FP028","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"88","FP033","Impact of the implementation challenge on the project implementation3","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"89","FP033","Impact of the implementation challenge on the project implementation2","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"90","FP033","Impact of the implementation challenge on the project implementation4","Moderate","Africa","International","Mitigation","Category B","Category B"
"91","FP033","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"92","FP033","Impact of the  procurement challenge on the project implementation","High","Africa","International","Mitigation","Category B","Category B"
"93","FP033","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Mitigation","Category B","Category B"
"94","FP034","Impact of the political challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"95","FP034","Impact of the financial challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"96","FP034","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Adaptation","Category B","Category B"
"97","FP034","Impact of the implementation challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"98","FP034","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"99","FP035","Impact of the implementation challenge on the project implementation4","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"100","FP035","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"101","FP035","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"102","FP035","Impact of the financial challenge on the project implementation","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"103","FP035","Impact of the implementation challenge on the project implementation3","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"104","FP035","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"105","FP036","Impact of the  procurement challenge on the project implementation","Minor/solved","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"106","FP037","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"107","FP037","Impact of the implementation challenge on the project implementation2","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"108","FP037","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"109","FP037","Impact of the financial challenge on the project implementation2","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"110","FP037","Impact of the financial challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"111","FP039","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Mitigation","Category B","Category B"
"112","FP039","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"113","FP039","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"114","FP040","Impact of the  procurement challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"115","FP046","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"116","FP046","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"117","FP046","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"118","FP047","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Mitigation","Category A","Category A"
"119","FP051","Impact of the political challenge on the project implementation","High","Eastern Europe","International","Mitigation","Category C","Category C"
"120","FP056","Impact of the implementation challenge on the project implementation","Moderate","L. America & Caribbean","International","Adaptation","Category B","Category B"
"121","FP056","Impact of the political challenge on the project implementation","High","L. America & Caribbean","International","Adaptation","Category B","Category B"
"122","FP056","Impact of the other challenges on the project implementation","Minor/Solved","L. America & Caribbean","International","Adaptation","Category B","Category B"
"123","FP068","Impact of the political challenge on the project implementation","Minor/Solved","Eastern Europe","International","Adaptation","Category B","Category B"
"124","FP069","Impact of the legal challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"125","FP069","Impact of the political challenge on the project implementation","Minor/solved","Asia-Pacific","International","Adaptation","Category B","Category B"
